number,plantid,plant_id,companion_id
1,1,1,41
1,1,1,34
1,1,1,4
1,1,1,7
1,1,1,10
1,1,1,33
1,1,1,17
2,2,2,43
2,2,2,4
2,2,2,25
2,2,2,7
2,2,2,23
2,2,2,10
2,2,2,18
2,2,2,22
3,3,3,43
3,3,3,4
3,3,3,25
3,3,3,7
3,3,3,23
3,3,3,10
3,3,3,18
3,3,3,22
4,4,4,42
4,4,4,2
4,4,4,1
7,7,7,42
7,7,7,2
7,7,7,8
7,7,7,16
7,7,7,20
7,7,7,1
8,8,8,42
8,8,8,7
8,8,8,27
8,8,8,33
8,8,8,16
8,8,8,18
8,8,8,19
8,8,8,24
9,9,9,42
9,9,9,17
10,10,10,43
10,10,10,2
10,10,10,34
10,10,10,25
10,10,10,23
10,10,10,17
10,10,10,1
13,13,13,43
13,13,13,4
13,13,13,25
13,13,13,7
13,13,13,23
13,13,13,10
13,13,13,18
13,13,13,22
14,14,14,8
14,14,14,19
14,14,14,20
14,14,14,24
16,16,16,42
16,16,16,34
16,16,16,8
16,16,16,7
16,16,16,20
16,16,16,26
17,17,17,34
17,17,17,9
17,17,17,10
17,17,17,1
18,18,18,42
18,18,18,2
18,18,18,8
18,18,18,9
18,18,18,16
19,19,19,8
19,19,19,27
19,19,19,24
20,20,20,42
20,20,20,34
20,20,20,7
20,20,20,23
20,20,20,27
20,20,20,16
22,22,22,2
23,23,23,43
23,23,23,2
23,23,23,34
23,23,23,10
23,23,23,20
24,24,24,8
24,24,24,27
24,24,24,19
25,25,25,42
25,25,25,2
26,26,26,16
27,27,27,8
27,27,27,19
27,27,27,20
27,27,27,24
28,28,28,8
28,28,28,27
28,28,28,19
33,33,33,41
33,33,33,8
33,33,33,1
34,34,34,42
34,34,34,23
34,34,34,10
34,34,34,16
34,34,34,17
34,34,34,20
34,34,34,1
41,41,41,12
41,41,41,33
41,41,41,1
42,42,42,43
42,42,42,2
42,42,42,34
42,42,42,4
42,42,42,25
42,42,42,8
42,42,42,7
42,42,42,9
43,43,43,42
43,43,43,2
43,43,43,23
43,43,43,10
44,44,44,43
44,44,44,4
44,44,44,25
44,44,44,7
44,44,44,23
44,44,44,10
44,44,44,18
44,44,44,22
45,45,45,43
45,45,45,4
45,45,45,25
45,45,45,7
45,45,45,23
45,45,45,10
45,45,45,18
45,45,45,22
46,46,46,43
46,46,46,4
46,46,46,25
46,46,46,7
46,46,46,23
46,46,46,10
46,46,46,18
46,46,46,22
