number,plant_id,early_indoor,late_indoor,early_outdoor,late_outdoor,outdoor_only
1,1,8,6,-1,-4,FALSE
2,2,8,6,4,2,FALSE
3,3,8,6,4,1,FALSE
4,4,10,8,-1,-3,FALSE
5,5,,,4,3,TRUE
6,6,6,4,3,2,TRUE
7,7,4,3,-2,-4,FALSE
8,8,,,0,-2,TRUE
9,9,10,8,-2,-4,FALSE
10,10,,,4,1,TRUE
11,11,,,-20,-23,TRUE
12,12,8,6,0,-3,FALSE
13,13,8,6,4,1,FALSE
14,14,4,3,-2,-4,FALSE
15,15,,,3,0,TRUE
16,16,,,6,3,TRUE
17,17,10,8,-1,-3,FALSE
18,18,,,1,-2,TRUE
19,19,3,1,-2,-4,FALSE
20,20,,,8,6,TRUE
21,21,,,6,3,TRUE
22,22,,,6,3,TRUE
23,23,6,4,2,-2,FALSE
24,24,4,2,-2,-4,FALSE
25,25,6,4,3,2,FALSE
26,26,,,4,1,TRUE
27,27,4,3,-2,-4,FALSE
28,28,4,2,-2,-4,FALSE
29,29,10,6,0,-3,FALSE
30,30,10,6,0,-3,FALSE
31,31,10,8,-1,-4,FALSE
32,32,,,0,-2,TRUE
33,33,,,4,2,TRUE
34,34,,,5,3,TRUE
35,35,10,8,3,2,FALSE
36,36,8,6,0,-2,FALSE
37,37,,,-20,-23,TRUE
38,38,,,-2,-4,TRUE
39,39,4,3,-2,-4,FALSE
40,40,,,5,3,TRUE
41,41,14,12,2,1,FALSE
42,42,,,-1,-4,TRUE
43,43,,,2,-1,TRUE
44,44,8,6,4,1,FALSE
45,45,8,6,4,2,FALSE
46,46,6,4,3,2,FALSE
47,47,,,2,0,TRUE
